Date,Underlying,Strike,Maturity,Bid,Ask,Call
2019-04-15,2905.58,2845,2019-04-30,68.60,70.20,69.40
2019-04-15,2905.58,2850,2019-04-30,64.20,65.80,65.00
2019-04-15,2905.58,2855,2019-04-30,59.90,61.40,60.65
2019-04-15,2905.58,2860,2019-04-30,55.60,57.10,56.35
2019-04-15,2905.58,2865,2019-04-30,51.40,52.90,52.15
2019-04-15,2905.58,2870,2019-04-30,47.80,48.30,48.05
2019-04-15,2905.58,2875,2019-04-30,43.70,44.20,43.95
2019-04-15,2905.58,2880,2019-04-30,39.80,40.30,40.05
2019-04-15,2905.58,2885,2019-04-30,36.00,36.40,36.20
2019-04-15,2905.58,2890,2019-04-30,32.30,32.80,32.55
2019-04-15,2905.58,2895,2019-04-30,28.80,29.30,29.05
2019-04-15,2905.58,2900,2019-04-30,25.50,25.90,25.70
2019-04-15,2905.58,2905,2019-04-30,22.30,22.80,22.55
2019-04-15,2905.58,2910,2019-04-30,19.40,19.80,19.60
2019-04-15,2905.58,2915,2019-04-30,16.70,17.10,16.90
2019-04-15,2905.58,2920,2019-04-30,14.30,14.60,14.45
2019-04-15,2905.58,2925,2019-04-30,12.00,12.40,12.20
2019-04-15,2905.58,2930,2019-04-30,10.10,10.40,10.25
2019-04-15,2905.58,2935,2019-04-30,8.30,8.60,8.45
2019-04-15,2905.58,2940,2019-04-30,6.80,7.00,6.90
2019-04-15,2905.58,2945,2019-04-30,5.40,5.70,5.55
2019-04-15,2905.58,2950,2019-04-30,4.40,4.60,4.50
2019-04-15,2905.58,2955,2019-04-30,3.40,3.70,3.55
2019-04-15,2905.58,2960,2019-04-30,2.65,2.85,2.75
2019-04-15,2905.58,2965,2019-04-30,2.05,2.25,2.15
2019-04-16,2907.06,2845,2019-04-30,68.30,70.10,69.20
2019-04-16,2907.06,2850,2019-04-30,63.80,65.60,64.70
2019-04-16,2907.06,2855,2019-04-30,59.40,61.20,60.30
2019-04-16,2907.06,2860,2019-04-30,55.30,56.90,56.10
2019-04-16,2907.06,2865,2019-04-30,50.90,52.50,51.70
2019-04-16,2907.06,2870,2019-04-30,47.30,47.80,47.55
2019-04-16,2907.06,2875,2019-04-30,43.20,43.70,43.45
2019-04-16,2907.06,2880,2019-04-30,39.20,39.70,39.45
2019-04-16,2907.06,2885,2019-04-30,35.40,35.90,35.65
2019-04-16,2907.06,2890,2019-04-30,31.70,32.20,31.95
2019-04-16,2907.06,2895,2019-04-30,28.10,28.60,28.35
2019-04-16,2907.06,2900,2019-04-30,24.80,25.30,25.05
2019-04-16,2907.06,2905,2019-04-30,21.70,22.10,21.90
2019-04-16,2907.06,2910,2019-04-30,18.80,19.20,19.00
2019-04-16,2907.06,2915,2019-04-30,16.10,16.50,16.30
2019-04-16,2907.06,2920,2019-04-30,13.70,14.10,13.90
2019-04-16,2907.06,2925,2019-04-30,11.50,11.90,11.70
2019-04-16,2907.06,2930,2019-04-30,9.60,9.90,9.75
2019-04-16,2907.06,2935,2019-04-30,7.90,8.20,8.05
2019-04-16,2907.06,2940,2019-04-30,6.40,6.70,6.55
2019-04-16,2907.06,2945,2019-04-30,5.10,5.40,5.25
2019-04-16,2907.06,2950,2019-04-30,4.10,4.40,4.25
2019-04-16,2907.06,2955,2019-04-30,3.20,3.50,3.35
2019-04-16,2907.06,2960,2019-04-30,2.50,2.70,2.60
2019-04-16,2907.06,2965,2019-04-30,1.95,2.15,2.05
2019-04-17,2900.45,2840,2019-04-30,65.40,67.30,66.35
2019-04-17,2900.45,2845,2019-04-30,61.00,62.80,61.90
2019-04-17,2900.45,2850,2019-04-30,56.70,58.40,57.55
2019-04-17,2900.45,2855,2019-04-30,52.40,54.10,53.25
2019-04-17,2900.45,2860,2019-04-30,48.20,49.80,49.00
2019-04-17,2900.45,2865,2019-04-30,44.50,45.10,44.80
2019-04-17,2900.45,2870,2019-04-30,40.50,41.00,40.75
2019-04-17,2900.45,2875,2019-04-30,36.50,37.10,36.80
2019-04-17,2900.45,2880,2019-04-30,32.80,33.30,33.05
2019-04-17,2900.45,2885,2019-04-30,29.10,29.70,29.40
2019-04-17,2900.45,2890,2019-04-30,25.70,26.20,25.95
2019-04-17,2900.45,2895,2019-04-30,22.50,23.00,22.75
2019-04-17,2900.45,2900,2019-04-30,19.50,20.00,19.75
2019-04-17,2900.45,2905,2019-04-30,16.70,17.10,16.90
2019-04-17,2900.45,2910,2019-04-30,14.10,14.60,14.35
2019-04-17,2900.45,2915,2019-04-30,11.80,12.30,12.05
2019-04-17,2900.45,2920,2019-04-30,9.80,10.30,10.05
2019-04-17,2900.45,2925,2019-04-30,8.10,8.50,8.30
2019-04-17,2900.45,2930,2019-04-30,6.50,6.90,6.70
2019-04-17,2900.45,2935,2019-04-30,5.20,5.60,5.40
2019-04-17,2900.45,2940,2019-04-30,4.10,4.40,4.25
2019-04-17,2900.45,2945,2019-04-30,3.20,3.50,3.35
2019-04-17,2900.45,2950,2019-04-30,2.55,2.75,2.65
2019-04-17,2900.45,2955,2019-04-30,1.95,2.10,2.03
2019-04-17,2900.45,2960,2019-04-30,1.50,1.65,1.57
2019-04-18,2905.03,2845,2019-04-30,66.60,69.00,67.80
2019-04-18,2905.03,2850,2019-04-30,62.10,64.40,63.25
2019-04-18,2905.03,2855,2019-04-30,57.60,59.90,58.75
2019-04-18,2905.03,2860,2019-04-30,53.20,55.20,54.20
2019-04-18,2905.03,2865,2019-04-30,48.90,50.80,49.85
2019-04-18,2905.03,2870,2019-04-30,44.60,46.50,45.55
2019-04-18,2905.03,2875,2019-04-30,41.10,41.70,41.40
2019-04-18,2905.03,2880,2019-04-30,37.10,37.60,37.35
2019-04-18,2905.03,2885,2019-04-30,33.10,33.70,33.40
2019-04-18,2905.03,2890,2019-04-30,29.40,29.90,29.65
2019-04-18,2905.03,2895,2019-04-30,25.80,26.30,26.05
2019-04-18,2905.03,2900,2019-04-30,22.40,22.90,22.65
2019-04-18,2905.03,2905,2019-04-30,19.20,19.70,19.45
2019-04-18,2905.03,2910,2019-04-30,16.40,16.80,16.60
2019-04-18,2905.03,2915,2019-04-30,13.70,14.20,13.95
2019-04-18,2905.03,2920,2019-04-30,11.40,11.80,11.60
2019-04-18,2905.03,2925,2019-04-30,9.30,9.70,9.50
2019-04-18,2905.03,2930,2019-04-30,7.50,7.90,7.70
2019-04-18,2905.03,2935,2019-04-30,6.00,6.30,6.15
2019-04-18,2905.03,2940,2019-04-30,4.70,5.10,4.90
2019-04-18,2905.03,2945,2019-04-30,3.60,4.00,3.80
2019-04-18,2905.03,2950,2019-04-30,2.80,3.10,2.95
2019-04-18,2905.03,2955,2019-04-30,2.15,2.40,2.28
2019-04-18,2905.03,2960,2019-04-30,1.60,1.80,1.70
2019-04-18,2905.03,2965,2019-04-30,1.20,1.35,1.28
